Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/liter of wastewater),Proportion of Population Fully Vaccinated
94112,2/17/23,21683,85166,3, , 
94112,2/16/23,21680,85166,7, , 
94112,2/15/23,21673,85166,11, , 
94112,2/14/23,21662,85166,14,259801.8,0.924162
94112,2/13/23,21648,85166,7, , 
94112,2/12/23,21641,85166,6, , 
94112,2/11/23,21635,85166,10, , 
94112,2/10/23,21625,85166,4, , 
94112,2/9/23,21621,85166,3, , 
94112,2/8/23,21618,85166,13, , 
94112,2/7/23,21605,85166,5,249442.7,0.923938
94112,2/6/23,21600,85166,199, , 
94112,2/5/23,21401,85166,0, , 
94112,2/4/23,21401,85166,0, , 
94112,2/3/23,21401,85166,0, , 
94112,2/2/23,21401,85166,0, , 
94112,2/1/23,21401,85166,0, , 
94112,1/31/23,21401,85166,8,30323.9,0.923761
94112,1/30/23,21393,85166,4, , 
94112,1/29/23,21389,85166,3, , 
94112,1/28/23,21386,85166,9, , 
94112,1/27/23,21377,85166,3, , 
94112,1/26/23,21374,85166,1,128258.3, 
94112,1/25/23,21373,85166,7, , 
94112,1/24/23,21366,85166,12, ,0.923536
94112,1/23/23,21354,85166,8, , 
94112,1/22/23,21346,85166,11, , 
94112,1/21/23,21335,85166,5, , 
94112,1/20/23,21330,85166,3, , 
94112,1/19/23,21327,85166,0,210078.242, 
94112,1/18/23,21327,85166,22,921944.4784, 
94112,1/17/23,21305,85166,0, ,0.923253
94112,1/16/23,21305,85166,10, , 
94112,1/15/23,21295,85166,11, , 
94112,1/14/23,21284,85166,23, , 
94112,1/13/23,21261,85166,11, , 
94112,1/12/23,21250,85166,10,47703.7, 
94112,1/11/23,21240,85166,19, , 
94112,1/10/23,21221,85166,19, ,0.922982
94112,1/9/23,21202,85166,12, , 
94112,1/8/23,21190,85166,24, , 
94112,1/7/23,21166,85166,21, , 
94112,1/6/23,21145,85166,5, , 
94112,1/5/23,21140,85166,6,90477.69928, 
94112,1/4/23,21134,85166,28,107099.528, 
94112,1/3/23,21106,85166,0, ,0.922698
94112,1/2/23,21106,85166,17, , 
94112,1/1/23,21089,85166,13, , 
94112,12/31/22,21076,85166,19, , 
94112,12/30/22,21057,85166,6, , 
94112,12/29/22,21051,85166,8,495733.7443, 
94112,12/28/22,21043,85166,37,2548871.4, 
94112,12/27/22,21006,85166,0, ,0.922462
94112,12/26/22,21006,85166,26, , 
94112,12/25/22,20980,85166,24, , 
94112,12/24/22,20956,85166,33, , 
94112,12/23/22,20923,85166,6, , 
94112,12/22/22,20917,85166,9,295889.0584, 
94112,12/21/22,20908,85166,29,320962.087, 
94112,12/20/22,20879,85166,14, ,0.922261
94112,12/19/22,20865,85166,24, , 
94112,12/18/22,20841,85166,24, , 
94112,12/17/22,20817,85166,39, , 
94112,12/16/22,20778,85166,12, , 
94112,12/15/22,20766,85166,8,722129.5, 
94112,12/14/22,20758,85166,36,1353180.1, 
94112,12/13/22,20722,85166,28,2021106.8,0.922049
94112,12/12/22,20694,85166,26, , 
94112,12/11/22,20668,85166,30, , 
94112,12/10/22,20638,85166,44, , 
94112,12/9/22,20594,85166,13, , 
94112,12/8/22,20581,85166,16,2209345.378, 
94112,12/7/22,20565,85166,25,2630542.1, 
94112,12/6/22,20540,85166,24,446743.1234,0.921766
94112,12/5/22,20516,85166,32, , 
94112,12/4/22,20484,85166,21, , 
94112,12/3/22,20463,85166,50, , 
94112,12/2/22,20413,85166,10, , 
94112,12/1/22,20403,85166,24,315362.264, 
94112,11/30/22,20379,85166,12,527000.4, 
94112,11/29/22,20367,85166,51,444760.3658,0.921423
94112,11/28/22,20316,85166,0, , 
94112,11/27/22,20316,85166,0, , 
94112,11/26/22,20316,85166,28, , 
94112,11/25/22,20288,85166,5, , 
94112,11/24/22,20283,85166,15, , 
94112,11/23/22,20268,85166,14,407857.1, 
94112,11/22/22,20254,85166,11,287331.8888,0.921128
94112,11/21/22,20243,85166,17, , 
94112,11/20/22,20226,85166,9, , 
94112,11/19/22,20217,85166,20, , 
94112,11/18/22,20197,85166,2, , 
94112,11/17/22,20195,85166,11,134860.6, 
94112,11/16/22,20184,85166,17,138108.8511, 
94112,11/15/22,20167,85166,31,309438.6495,0.920798
94112,11/14/22,20136,85166,0, , 
94112,11/13/22,20136,85166,15, , 
94112,11/12/22,20121,85166,23, , 
94112,11/11/22,20098,85166,6, , 
94112,11/10/22,20092,85166,21,138833.7453, 
94112,11/9/22,20071,85166,12,405493.276, 
94112,11/8/22,20059,85166,15,133197.8734,0.920479
94112,11/7/22,20044,85166,12, , 
94112,11/6/22,20032,85166,12, , 
94112,11/5/22,20020,85166,35, , 
94112,11/4/22,19985,85166,4, , 
94112,11/3/22,19981,85166,3,325128.7, 
94112,11/2/22,19978,85166,0,700900.5534, 
94112,11/1/22,19978,85166,4,461243.7948,0.919983
94112,10/31/22,19974,85166,11, , 
94112,10/30/22,19963,85166,10, , 
94112,10/29/22,19953,85166,8, , 
94112,10/28/22,19945,85166,1, , 
94112,10/27/22,19944,85166,2,305803.2837, 
94112,10/26/22,19942,85166,10,274249.2116, 
94112,10/25/22,19932,85166,9,1125130.33,0.919464
94112,10/24/22,19923,85166,10, , 
94112,10/23/22,19913,85166,10, , 
94112,10/22/22,19903,85166,17, , 
94112,10/21/22,19886,85166,8, , 
94112,10/20/22,19878,85166,3,276803.7, 
94112,10/19/22,19875,85166,7,374460.2, 
94112,10/18/22,19868,85166,17,474512.9,0.918944
94112,10/17/22,19851,85166,9, , 
94112,10/16/22,19842,85166,6, , 
94112,10/15/22,19836,85166,14, , 
94112,10/14/22,19822,85166,6, , 
94112,10/13/22,19816,85166,9,457468.221, 
94112,10/12/22,19807,85166,17,760243.3333, 
94112,10/11/22,19790,85166,0, ,0.918401
94112,10/10/22,19790,85166,3, , 
94112,10/9/22,19787,85166,9, , 
94112,10/8/22,19778,85166,5, , 
94112,10/7/22,19773,85166,3, , 
94112,10/6/22,19770,85166,8,75290, 
94112,10/5/22,19762,85166,6,150483.4301, 
94112,10/4/22,19756,85166,10,95154.93724,0.917834
94112,10/3/22,19746,85166,10, , 
94112,10/2/22,19736,85166,11, , 
94112,10/1/22,19725,85166,14, , 
94112,9/30/22,19711,85166,1, , 
94112,9/29/22,19710,85166,2,195983.1238, 
94112,9/28/22,19708,85166,119,323912.5221, 
94112,9/27/22,19589,85166,2,213664.6237,0.917327
94112,9/26/22,19587,85166,6, , 
94112,9/25/22,19581,85166,0, , 
94112,9/24/22,19581,85166,4, , 
94112,9/23/22,19577,85166,6, , 
94112,9/22/22,19571,85166,3,56896.32797, 
94112,9/21/22,19568,85166,2,119008.5754, 
94112,9/20/22,19566,85166,7,158299.6674,0.916607
94112,9/19/22,19559,85166,3, , 
94112,9/18/22,19556,85166,3, , 
94112,9/17/22,19553,85166,6, , 
94112,9/16/22,19547,85166,3, , 
94112,9/15/22,19544,85166,0,190802.8259, 
94112,9/14/22,19544,85166,4,142327.5248, 
94112,9/13/22,19540,85166,6,325054.1992,0.915709
94112,9/12/22,19534,85166,8, , 
94112,9/11/22,19526,85166,10, , 
94112,9/10/22,19516,85166,5, , 
94112,9/9/22,19511,85166,6, , 
94112,9/8/22,19505,85166,7,151947.6267, 
94112,9/7/22,19498,85166,19,49069.02822, 
94112,9/6/22,19479,85166,0, ,0.914954
94112,9/5/22,19479,85166,15, , 
94112,9/4/22,19464,85166,23, , 
94112,9/3/22,19441,85166,26, , 
94112,9/2/22,19415,85166,8, , 
94112,9/1/22,19407,85166,11,112799.3342, 
94112,8/31/22,19396,85166,11,143429.4484, 
94112,8/30/22,19385,85166,27,245407.8013,0.914352
94112,8/29/22,19358,85166,16, , 
94112,8/28/22,19342,85166,16, , 
94112,8/27/22,19326,85166,22, , 
94112,8/26/22,19304,85166,8, , 
94112,8/25/22,19296,85166,14,1077561.076, 
94112,8/24/22,19282,85166,11,303073.4456, 
94112,8/23/22,19271,85166,26,214487.7014,0.913431
94112,8/22/22,19245,85166,10, , 
94112,8/21/22,19235,85166,14, , 
94112,8/20/22,19221,85166,28, , 
94112,8/19/22,19193,85166,5, , 
94112,8/18/22,19188,85166,15,706442.8304, 
94112,8/17/22,19173,85166,22,304427.3529, 
94112,8/16/22,19151,85166,29,466337.0361,0.912723
94112,8/15/22,19122,85166,26, , 
94112,8/14/22,19096,85166,24, , 
94112,8/13/22,19072,85166,36, , 
94112,8/12/22,19036,85166,7, , 
94112,8/11/22,19029,85166,10,420711.3749, 
94112,8/10/22,19019,85166,31,2678071.289, 
94112,8/9/22,18988,85166,28,388500.3662,0.911542
94112,8/8/22,18960,85166,16, , 
94112,8/7/22,18944,85166,30, , 
94112,8/6/22,18914,85166,57, , 
94112,8/5/22,18857,85166,7, , 
94112,8/4/22,18850,85166,25,806505.8594, 
94112,8/3/22,18825,85166,26,281108.8359, 
94112,8/2/22,18799,85166,62,931654.9683,0.910503
94112,8/1/22,18737,85166,26, , 
94112,7/31/22,18711,85166,36, , 
94112,7/30/22,18675,85166,51, , 
94112,7/29/22,18624,85166,20, , 
94112,7/28/22,18604,85166,29,1234874.593, 
94112,7/27/22,18575,85166,34,523856.5877, 
94112,7/26/22,18541,85166,69,458058.4615,0.909228
94112,7/25/22,18472,85166,27, , 
94112,7/24/22,18445,85166,46, , 
94112,7/23/22,18399,85166,61, , 
94112,7/22/22,18338,85166,14, , 
94112,7/21/22,18324,85166,28,1093025.635, 
94112,7/20/22,18296,85166,43,2581882.406, 
94112,7/19/22,18253,85166,103,5426226.074,0.907788
94112,7/18/22,18150,85166,13, , 
94112,7/17/22,18137,85166,45, , 
94112,7/16/22,18092,85166,64, , 
94112,7/15/22,18028,85166,18, , 
94112,7/14/22,18010,85166,323,1371856.649, 
94112,7/13/22,17687,85166,43,1488281.331, 
94112,7/12/22,17644,85166,83,13279286.78,0.907174
94112,7/11/22,17561,85166,29, , 
94112,7/10/22,17532,85166,78, , 
94112,7/9/22,17454,85166,25, , 
94112,7/8/22,17429,85166,23, , 
94112,7/7/22,17406,85166,15,3217322.103, 
94112,7/6/22,17391,85166,110,1800001.587, 
94112,7/5/22,17281,85166,0, ,0.906678
94112,7/4/22,17281,85166,115, , 
94112,7/3/22,17166,85166,0, , 
94112,7/2/22,17166,85166,58, , 
94112,7/1/22,17108,85166,12, , 
94112,6/30/22,17096,85166,13,196666.7582, 
94112,6/29/22,17083,85166,48,497488.3321, 
94112,6/28/22,17035,85166,92,187787.4603,0.906218
94112,6/27/22,16943,85166,8, , 
94112,6/26/22,16935,85166,67, , 
94112,6/25/22,16868,85166,53, , 
94112,6/24/22,16815,85166,11, , 
94112,6/23/22,16804,85166,16,37069.0918, 
94112,6/22/22,16788,85166,0, , 
94112,6/21/22,16788,85166,146, ,0.90571
94112,6/20/22,16642,85166,0, , 
94112,6/19/22,16642,85166,64, , 
94112,6/18/22,16578,85166,59, , 
94112,6/17/22,16519,85166,21, , 
94112,6/16/22,16498,85166,40, , 
94112,6/15/22,16458,85166,44, , 
94112,6/14/22,16414,85166,50,169697.9319,0.905392
94112,6/13/22,16364,85166,42, , 
94112,6/12/22,16322,85166,50, , 
94112,6/11/22,16272,85166,66, , 
94112,6/10/22,16206,85166,10, , 
