Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/liter of wastewater),Proportion of Population Fully Vaccinated
94124,2/17/23,13512,35363,5, , 
94124,2/16/23,13507,35363,0,699632.8, 
94124,2/15/23,13507,35363,7, , 
94124,2/14/23,13500,35363,10,295414.9,0.999888
94124,2/13/23,13490,35363,8,656275, 
94124,2/12/23,13482,35363,5,479393.5, 
94124,2/11/23,13477,35363,2, , 
94124,2/10/23,13475,35363,9, , 
94124,2/9/23,13466,35363,4, , 
94124,2/8/23,13462,35363,7,803279.3, 
94124,2/7/23,13455,35363,4,322547.9,0.999496
94124,2/6/23,13451,35363,-266,353700.8, 
94124,2/5/23,13717,35363,0,117439.1, 
94124,2/4/23,13717,35363,0, , 
94124,2/3/23,13717,35363,0, , 
94124,2/2/23,13717,35363,0, , 
94124,2/1/23,13717,35363,0,496857.7, 
94124,1/31/23,13717,35363,8,214729,0.999021
94124,1/30/23,13709,35363,12,437817.9, 
94124,1/29/23,13697,35363,8,373001.9, 
94124,1/28/23,13689,35363,3, , 
94124,1/27/23,13686,35363,9, , 
94124,1/26/23,13677,35363,5,267027.2, 
94124,1/25/23,13672,35363,4,302949.9, 
94124,1/24/23,13668,35363,6, ,0.99835
94124,1/23/23,13662,35363,7,322242, 
94124,1/22/23,13655,35363,4,466602.7, 
94124,1/21/23,13651,35363,2, , 
94124,1/20/23,13649,35363,2, , 
94124,1/19/23,13647,35363,-2,179284.2814, 
94124,1/18/23,13649,35363,13,168511.8561, 
94124,1/17/23,13636,35363,0, ,0.997734
94124,1/16/23,13636,35363,7,8112.854242, 
94124,1/15/23,13629,35363,3,80392.94561, 
94124,1/14/23,13626,35363,10, , 
94124,1/13/23,13616,35363,4, , 
94124,1/12/23,13612,35363,4,99734, 
94124,1/11/23,13608,35363,6, , 
94124,1/10/23,13602,35363,3, ,0.997286
94124,1/9/23,13599,35363,2,17857.5, 
94124,1/8/23,13597,35363,12,96212.4, 
94124,1/7/23,13585,35363,7, , 
94124,1/6/23,13578,35363,3, , 
94124,1/5/23,13575,35363,3,51697.58415, 
94124,1/4/23,13572,35363,20,289903.6357, 
94124,1/3/23,13552,35363,0, ,0.997063
94124,1/2/23,13552,35363,11,419317.9525, 
94124,1/1/23,13541,35363,15,165103.2817, 
94124,12/31/22,13526,35363,14, , 
94124,12/30/22,13512,35363,4, , 
94124,12/29/22,13508,35363,6,428160.2275, 
94124,12/28/22,13502,35363,17,661396.4233, 
94124,12/27/22,13485,35363,0, ,0.996615
94124,12/26/22,13485,35363,15,942879.1, 
94124,12/25/22,13470,35363,10,703971.2, 
94124,12/24/22,13460,35363,14, , 
94124,12/23/22,13446,35363,7, , 
94124,12/22/22,13439,35363,7,1370538.208, 
94124,12/21/22,13432,35363,9,708082.4992, 
94124,12/20/22,13423,35363,12, ,0.996307
94124,12/19/22,13411,35363,13,936118.042, 
94124,12/18/22,13398,35363,19,1548396.24, 
94124,12/17/22,13379,35363,22, , 
94124,12/16/22,13357,35363,14, , 
94124,12/15/22,13343,35363,5,709578.2, 
94124,12/14/22,13338,35363,16,1445619, 
94124,12/13/22,13322,35363,16,884419.9,0.99586
94124,12/12/22,13306,35363,19,305844.7, 
94124,12/11/22,13287,35363,13,206678.7, 
94124,12/10/22,13274,35363,31, , 
94124,12/9/22,13243,35363,6, , 
94124,12/8/22,13237,35363,6,1764221.11, 
94124,12/7/22,13231,35363,9,1108782.4, 
94124,12/6/22,13222,35363,28,521678.9347,0.995244
94124,12/5/22,13194,35363,8,543661.5397, 
94124,12/4/22,13186,35363,21,622620.6665, 
94124,12/3/22,13165,35363,16, , 
94124,12/2/22,13149,35363,10, , 
94124,12/1/22,13139,35363,5,1718225.179, 
94124,11/30/22,13134,35363,6,1210900.594, 
94124,11/29/22,13128,35363,23,856581.604,0.994685
94124,11/28/22,13105,35363,0,999079.2, 
94124,11/27/22,13105,35363,0,921313.2, 
94124,11/26/22,13105,35363,6, , 
94124,11/25/22,13099,35363,4, , 
94124,11/24/22,13095,35363,5, , 
94124,11/23/22,13090,35363,11,827455.4, 
94124,11/22/22,13079,35363,9,1207393.107,0.994489
94124,11/21/22,13070,35363,10,820783.9966, 
94124,11/20/22,13060,35363,9,809972.0866, 
94124,11/19/22,13051,35363,10, , 
94124,11/18/22,13041,35363,1, , 
94124,11/17/22,13040,35363,5,1064760.6, 
94124,11/16/22,13035,35363,9,920748.9217, 
94124,11/15/22,13026,35363,15,301159.9325,0.99393
94124,11/14/22,13011,35363,0,514202.6774, 
94124,11/13/22,13011,35363,4,502148.3561, 
94124,11/12/22,13007,35363,11, , 
94124,11/11/22,12996,35363,3, , 
94124,11/10/22,12993,35363,15,668644.4499, 
94124,11/9/22,12978,35363,8,318882.8837, 
94124,11/8/22,12970,35363,5,280635.9,0.99351
94124,11/7/22,12965,35363,6,463463.6841, 
94124,11/6/22,12959,35363,0,564621.7448, 
94124,11/5/22,12959,35363,17, , 
94124,11/4/22,12942,35363,2, , 
