Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
94577,2/17/23,12166,48666,0, , 
94577,2/16/23,12166,48666,0,15849787.28, 
94577,2/15/23,12166,48666,8,26125680.63, 
94577,2/14/23,12158,48666,27,8367852.973,0.872635
94577,2/13/23,12131,48666,0, , 
94577,2/12/23,12131,48666,0, , 
94577,2/11/23,12131,48666,11, , 
94577,2/10/23,12120,48666,0, , 
94577,2/9/23,12120,48666,6,10687592.04, 
94577,2/8/23,12114,48666,6,21111034.42, 
94577,2/7/23,12108,48666,18,21460332.07,0.872447
94577,2/6/23,12090,48666,0, , 
94577,2/5/23,12090,48666,0, , 
94577,2/4/23,12090,48666,0, , 
94577,2/3/23,12090,48666,15, , 
94577,2/2/23,10202,48666,12,18581012.49, 
94577,2/1/23,12067,48666,8,31873020.03, 
94577,1/31/23,12059,48666,0,74229741.46,0.872195
94577,1/30/23,12059,48666,19, , 
94577,1/29/23,12040,48666,0, , 
94577,1/28/23,12040,48666,0, , 
94577,1/27/23,12040,48666,5, , 
94577,1/26/23,12035,48666,1,5494452.507, 
94577,1/25/23,12034,48666,3,18384254.33, 
94577,1/24/23,12031,48666,16,11164037.96,0.872027
94577,1/23/23,12015,48666,0, , 
94577,1/22/23,12015,48666,0, , 
94577,1/21/23,12015,48666,11, , 
94577,1/20/23,12004,48666,2, , 
94577,1/19/23,12002,48666,16,2665995.28, 
94577,1/18/23,11986,48666,0,10931653.87, 
94577,1/17/23,11986,48666,4,9133040.246,0.871901
94577,1/16/23,11982,48666,0, , 
94577,1/15/23,11982,48666,0, , 
94577,1/14/23,11982,48666,0, , 
94577,1/13/23,11982,48666,0, , 
94577,1/12/23,11982,48666,49,6145590.495, 
94577,1/11/23,11933,48666,0,8203274.664, 
94577,1/10/23,11933,48666,13,6724808.837,0.871671
94577,1/9/23,11920,48666,0, , 
94577,1/8/23,11920,48666,0, , 
94577,1/7/23,11920,48666,0, , 
94577,1/6/23,11920,48666,0, , 
94577,1/5/23,11920,48666,19,4482420.368, 
94577,1/4/23,11901,48666,27,6996884.719, 
94577,1/3/23,11874,48666,0,8756838.263,0.871167
94577,1/2/23,11874,48666,0, , 
94577,1/1/23,11874,48666,0, , 
94577,12/31/22,11874,48666,23, , 
94577,12/30/22,11851,48666,2, , 
94577,12/29/22,11849,48666,31,10363902.62, 
94577,12/28/22,11818,48666,0,8684900.395, 
94577,12/27/22,11818,48666,43,4127154.15,0.870958
94577,12/26/22,11775,48666,0, , 
94577,12/25/22,11775,48666,0, , 
94577,12/24/22,11775,48666,0, , 
94577,12/23/22,11775,48666,0, , 
94577,12/22/22,11775,48666,14,3650019.61, 
94577,12/21/22,11761,48666,9,2260427.995, 
94577,12/20/22,11752,48666,52,2143698.261,0.870832
94577,12/19/22,11700,48666,0, , 
94577,12/18/22,11700,48666,0, , 
94577,12/17/22,11700,48666,0, , 
94577,12/16/22,11700,48666,0, , 
94577,12/15/22,11700,48666,15,8536251.184, 
94577,12/14/22,11685,48666,13,9518857.732, 
94577,12/13/22,11672,48666,17,783152.743,0.870664
94577,12/12/22,11655,48666,43, , 
94577,12/11/22,11612,48666,0, , 
94577,12/10/22,11612,48666,0, , 
94577,12/9/22,11612,48666,42, , 
94577,12/8/22,11570,48666,10,984850.5114, 
94577,12/7/22,11560,48666,0,271001.3097, 
94577,12/6/22,11560,48666,14,1059810.777,0.870538
94577,12/5/22,11546,48666,32, , 
94577,12/4/22,11514,48666,0, , 
94577,12/3/22,11514,48666,0, , 
