Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
3,43500,5254,31488,0, , 
4,43500,14599,63911,0, , 
5,43500,12137,44245,0, , 
6,43500,12090,48666,0, , 
7,43500,16879,72446,0, , 
8,43500,8114,38414,0, , 
9,43500,9846,47367,0,12565206.39, 
10,43500,24370,86703,0, , 
11,43500,13835,42483,0, , 
12,43500,6788,29920,0, , 
1,43499,39154,79997,0, , 
2,43499,4974,25015,0, , 
3,43499,5254,31488,0,866000, 
4,43499,14599,63911,0, , 
5,43499,12137,44245,0, , 
6,43499,12090,48666,0, , 
7,43499,16879,72446,0, , 
8,43499,8114,38414,1, , 
9,43499,9846,47367,0, , 
10,43499,24370,86703,0, , 
11,43499,13835,42483,4, , 
12,43499,6788,29920,5, , 
1,43498,39154,79997,0, , 
2,43498,4974,25015,0, , 
3,43498,5254,31488,0,214000, 
4,43498,14599,63911,15, , 
5,43498,12137,44245,15, , 
6,43498,12090,48666,15, , 
7,43498,16879,72446,15, , 
8,43498,8113,38414,15, , 
9,43498,9846,47367,15, , 
10,43498,24370,86703,0, , 
11,43498,13831,42483,5, , 
12,43498,6783,29920,3,10733447.26, 
1,43497,39154,79997,80,60558182.19, 
2,43497,4974,25015,6,7005642.137, 
3,43497,5254,31488,0,124000, 
4,43497,12524,63911,12,17822958.8, 
5,43497,10466,44245,12,12795749.24, 
6,43497,10202,48666,12,18581012.49, 
7,43497,14456,72446,12,28598848.78, 
8,43497,8113,38414,12,82466371.99, 
9,43497,9846,47367,12,10258122.97, 
10,43497,24370,86703,23,17004448.78, 
11,43497,13826,42483,9,23161840.04, 
12,43497,6780,29920,2, , 
1,43496,39074,79997,0,28427032.72, 
2,43496,4968,25015,0,7917123.832, 
3,43496,5254,31488,0,617535.4, 
4,43496,14572,63911,3, , 
5,43496,12115,44245,6, , 
6,43496,12067,48666,8,31873020.03, 
7,43496,16866,72446,2, , 
8,43496,8111,38414,2,27742682.63, 
9,43496,9835,47367,0, , 
10,43496,24347,86703,0,14728468.28, 
11,43496,13817,42483,4,28127257.93, 
12,43496,6778,29920,-1,8808939.813, 
1,43495,39074,79997,0, ,0.984513
2,43495,4968,25015,0, ,0.754029
3,43495,5254,31488,2,171000,0.703493
4,43495,14569,63911,0,25933011.34,0.865696
5,43495,12109,44245,0,14552150.25,0.88529
6,43495,12059,48666,0,74229741.46,0.872195
7,43495,16864,72446,0,31895681.18,0.82198
8,43495,8109,38414,2,10690224.77,0.836777
9,43495,9835,47367,0,34021445.45,0.757411
10,43495,24347,86703,0, ,0.788413
11,43495,13813,42483,10, ,0.771713
12,43495,6779,29920,5, ,0.775067
