Location ID,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/gram of dry sludge),Proportion of Population Fully Vaccinated
11,43294,12427,42483,-1, , 
12,43294,6125,29920,5, , 
1,43293,33507,79997,0, , 
2,43293,4330,25015,0, , 
3,43293,4241,31488,11,1570756.877, 
4,43293,11987,63911,18, , 
5,43293,9961,44245,13, , 
6,43293,10199,48666,3, , 
7,43293,13938,72446,26, , 
8,43293,7161,38414,9, , 
9,43293,8350,47367,0, , 
10,43293,21189,86703,0, , 
11,43293,12428,42483,21, , 
12,43293,6120,29920,16, , 
1,43292,33507,79997,0, ,0.967195
2,43292,4330,25015,0, ,0.742159
3,43292,4230,31488,27,706280.23,0.691691
4,43292,11969,63911,149, ,0.843984
5,43292,9948,44245,102, ,0.861038
6,43292,10196,48666,113, ,0.854264
7,43292,13912,72446,128, ,0.806777
8,43292,7152,38414,3,538032.0101,0.822047
9,43292,8350,47367,0,596119.58,0.746344
10,43292,21189,86703,0, ,0.774041
11,43292,12407,42483,17, ,0.75834
12,43292,6104,29920,5, ,0.764716
1,43291,33507,79997,0, , 
2,43291,4330,25015,25, , 
3,43291,4203,31488,8,2021632.487, 
4,43291,11820,63911,0, , 
5,43291,9846,44245,0, , 
6,43291,10083,48666,0, , 
7,43291,13784,72446,0, , 
8,43291,7149,38414,5,197006.829, 
9,43291,8350,47367,76, , 
10,43291,21189,86703,217, , 
11,43291,12390,42483,19, , 
12,43291,6099,29920,11, , 
1,43290,33507,79997,0, , 
2,43290,4305,25015,0, , 
3,43290,4195,31488,18,1490739.299, 
4,43290,11820,63911,0, , 
5,43290,9846,44245,0, , 
6,43290,10083,48666,0, , 
7,43290,13784,72446,0, , 
8,43290,7144,38414,33, , 
9,43290,8274,47367,0,478978.475, 
10,43290,20972,86703,0, , 
11,43290,12371,42483,35, , 
12,43290,6088,29920,14, , 
1,43289,33507,79997,0, , 
2,43289,4305,25015,0, , 
3,43289,4177,31488,14,1394411, 
4,43289,11820,63911,0, , 
5,43289,9846,44245,0, , 
6,43289,10083,48666,0, , 
7,43289,13784,72446,0, , 
8,43289,7111,38414,0, , 
9,43289,8274,47367,0, , 
10,43289,20972,86703,0, , 
11,43289,12336,42483,0, , 
12,43289,6074,29920,0, , 
1,43288,33507,79997,0, , 
2,43288,4305,25015,0, , 
3,43288,4163,31488,6,626957.76, 
4,43288,11820,63911,50, , 
5,43288,9846,44245,50, , 
6,43288,10083,48666,53, , 
7,43288,13784,72446,55, , 
8,43288,7111,38414,13,324478.6756, 
9,43288,8274,47367,0, , 
10,43288,20972,86703,0, , 
11,43288,12336,42483,30, , 
12,43288,6074,29920,19, , 
1,43287,33507,79997,482, , 
2,43287,4305,25015,146, , 
3,43287,4157,31488,14,779727.103, 
4,43287,11770,63911,0, , 
5,43287,9796,44245,0, , 
6,43287,10030,48666,0, , 
7,43287,13729,72446,0, , 
8,43287,7098,38414,19, , 
9,43287,8274,47367,15,470698.4705, 
10,43287,20972,86703,49, , 
11,43287,12306,42483,14, , 
12,43287,6055,29920,19, , 
1,43286,33025,79997,0, , 
2,43286,4159,25015,0, , 
3,43286,4143,31488,28,3517558.512, 
4,43286,11770,63911,94, , 
5,43286,9796,44245,75, , 
6,43286,10030,48666,71, , 
7,43286,13729,72446,121, , 
8,43286,7079,38414,2,451196.1627, 
9,43286,8259,47367,0, , 
10,43286,20923,86703,0, , 
11,43286,12292,42483,6, , 
12,43286,6036,29920,4, , 
1,43285,33025,79997,0, ,0.965835
2,43285,4159,25015,0, ,0.741687
3,43285,4115,31488,0,947860.142,0.691437
4,43285,11676,63911,0, ,0.843347
5,43285,9721,44245,0, ,0.860423
6,43285,9959,48666,0, ,0.853467
7,43285,13608,72446,0, ,0.806269
8,43285,7077,38414,7,453396.7564,0.821402
9,43285,8259,47367,100,685610.1287,0.746114
10,43285,20923,86703,219, ,0.773546
11,43285,12286,42483,8, ,0.757817
12,43285,6032,29920,9, ,0.764374
1,43284,33025,79997,0, , 
2,43284,4159,25015,0, , 
3,43284,4115,31488,26,3004274.984, 
4,43284,11676,63911,30, , 
5,43284,9721,44245,34, , 
6,43284,9959,48666,25, , 
7,43284,13608,72446,17, , 
8,43284,7070,38414,40, , 
9,43284,8159,47367,0, , 
10,43284,20704,86703,0, , 
11,43284,12278,42483,34, , 
12,43284,6023,29920,28, , 
1,43283,33025,79997,0, , 
2,43283,4159,25015,0, , 
3,43283,4089,31488,0,1990734.863, 
4,43283,11646,63911,0, , 
5,43283,9687,44245,0, , 
6,43283,9934,48666,0, , 
7,43283,13591,72446,0, , 
8,43283,7030,38414,0, , 
9,43283,8159,47367,0,543877.3807, 
10,43283,20704,86703,0, , 
11,43283,12244,42483,0, , 
12,43283,5995,29920,0, , 
1,43282,33025,79997,0, , 
2,43282,4159,25015,0, , 
3,43282,4089,31488,17,1057308.87, 
4,43282,11646,63911,-2, , 
5,43282,9687,44245,-2, , 
6,43282,9934,48666,-2, , 
7,43282,13591,72446,-2, , 
8,43282,7030,38414,0, , 
9,43282,8159,47367,0, , 
10,43282,20704,86703,0, , 
11,43282,12244,42483,0, , 
12,43282,5995,29920,0, , 
1,43281,33025,79997,0, , 
2,43281,4159,25015,0, , 
3,43281,4072,31488,5,1023879.6, 
4,43281,11648,63911,0, , 
5,43281,9689,44245,0, , 
6,43281,9936,48666,0, , 
7,43281,13593,72446,0, , 
8,43281,7030,38414,9, , 
9,43281,8159,47367,0, , 
10,43281,20704,86703,0, , 
11,43281,12244,42483,29, , 
12,43281,5995,29920,7, , 
1,43280,33025,79997,340, , 
2,43280,4159,25015,41, , 
3,43280,4067,31488,5,1908485.77, 
4,43280,11648,63911,83, , 
5,43280,9689,44245,58, , 
6,43280,9936,48666,46, , 
7,43280,13593,72446,94, , 
8,43280,7021,38414,25,685195.5947, 
9,43280,8159,47367,30,1039760.234, 
10,43280,20704,86703,54, , 
11,43280,12215,42483,18, , 
12,43280,5988,29920,8, , 
1,43279,32685,79997,0, , 
2,43279,4118,25015,0, , 
3,43279,4062,31488,10,872338.089, 
4,43279,11565,63911,19, , 
5,43279,9631,44245,14, , 
6,43279,9890,48666,13, , 
7,43279,13499,72446,13, , 
8,43279,6996,38414,14,646632.9504, 
9,43279,8129,47367,0, , 
10,43279,20650,86703,0, , 
11,43279,12197,42483,11, , 
12,43279,5980,29920,13, , 
1,43278,32685,79997,0, ,0.964688
2,43278,4118,25015,0, ,0.741176
3,43278,4052,31488,29,1554998.04,0.691278
4,43278,11546,63911,138, ,0.842873
5,43278,9617,44245,96, ,0.859914
6,43278,9877,48666,106, ,0.853068
7,43278,13486,72446,138, ,0.805934
8,43278,6982,38414,7,289017.564,0.821221
9,43278,8129,47367,0,550202.2425,0.745842
10,43278,20650,86703,0, ,0.773224
11,43278,12186,42483,15, ,0.756865
12,43278,5967,29920,7, ,0.763862
1,43277,32685,79997,0, , 
2,43277,4118,25015,25, , 
3,43277,4023,31488,6,1002501.729, 
4,43277,11408,63911,0, , 
5,43277,9521,44245,0, , 
6,43277,9771,48666,0, , 
7,43277,13348,72446,0, , 
8,43277,6975,38414,24, , 
9,43277,8129,47367,112, , 
10,43277,20650,86703,177, , 
11,43277,12171,42483,26, , 
12,43277,5960,29920,17, , 
1,43276,32685,79997,0, , 
2,43276,4093,25015,0, , 
3,43276,4017,31488,19,2459147.461, 
4,43276,11408,63911,0, , 
5,43276,9521,44245,0, , 
6,43276,9771,48666,0, , 
7,43276,13348,72446,0, , 
8,43276,6951,38414,21, , 
9,43276,8017,47367,0,407062.5691, 
10,43276,20473,86703,0, , 
11,43276,12145,42483,30, , 
12,43276,5943,29920,16, , 
1,43275,32685,79997,0, , 
2,43275,4093,25015,0, , 
3,43275,3998,31488,15,915946.207, 
4,43275,11408,63911,43, , 
5,43275,9521,44245,28, , 
6,43275,9771,48666,32, , 
7,43275,13348,72446,49, , 
8,43275,6930,38414,0, , 
9,43275,8017,47367,0, , 
10,43275,20473,86703,0, , 
11,43275,12115,42483,0, , 
12,43275,5927,29920,0, , 
1,43274,32685,79997,0, , 
2,43274,4093,25015,74, , 
3,43274,3983,31488,6,1939238.91, 
4,43274,11365,63911,-1, , 
5,43274,9493,44245,5, , 
6,43274,9739,48666,0, , 
7,43274,13299,72446,10, , 
8,43274,6930,38414,15, , 
9,43274,8017,47367,0, , 
10,43274,20473,86703,0, , 
11,43274,12115,42483,17, , 
12,43274,5927,29920,22, , 
1,43273,32685,79997,391, , 
2,43273,4019,25015,0, , 
3,43273,3977,31488,13,1263793.51, 
4,43273,11366,63911,58, , 
5,43273,9488,44245,48, , 
6,43273,9739,48666,36, , 
7,43273,13289,72446,60, , 
8,43273,6915,38414,12, , 
9,43273,8017,47367,24,571793.6733, 
10,43273,20473,86703,43, , 
11,43273,12098,42483,17, , 
12,43273,5905,29920,17, , 
1,43272,32294,79997,0, , 
2,43272,4019,25015,0, , 
3,43272,3964,31488,0,1334769.85, 
4,43272,11308,63911,0, , 
5,43272,9440,44245,0, , 
6,43272,9703,48666,0, , 
7,43272,13229,72446,0, , 
8,43272,6903,38414,20, , 
9,43272,7993,47367,0, , 
10,43272,20430,86703,0, , 
11,43272,12081,42483,50, , 
12,43272,5888,29920,13, , 
1,43271,32294,79997,0, ,0.963407
2,43271,4019,25015,0, ,0.740665
3,43271,3964,31488,54,904278.225,0.690959
4,43271,11308,63911,72, ,0.842102
5,43271,9440,44245,76, ,0.859511
6,43271,9703,48666,64, ,0.852502
7,43271,13229,72446,83, ,0.805452
8,43271,6883,38414,27, ,0.820937
9,43271,7993,47367,89,4450454.762,0.745633
10,43271,20430,86703,235, ,0.772648
11,43271,12031,42483,53, ,0.75627
12,43271,5875,29920,32, ,0.763759
1,43270,32294,79997,0, , 
2,43270,4019,25015,0, , 
3,43270,3910,31488,0,1042510.99, 
4,43270,11236,63911,0, , 
5,43270,9364,44245,0, , 
6,43270,9639,48666,1, , 
7,43270,13146,72446,1, , 
8,43270,6856,38414,0, , 
9,43270,7904,47367,0, , 
10,43270,20195,86703,0, , 
11,43270,11978,42483,0, , 
12,43270,5843,29920,0, , 
1,43269,32294,79997,0, , 
2,43269,4019,25015,0, , 
3,43269,3910,31488,16,2056469.686, 
4,43269,11236,63911,0, , 
5,43269,9364,44245,0, , 
6,43269,9638,48666,0, , 
7,43269,13145,72446,0, , 
8,43269,6856,38414,0, , 
9,43269,7904,47367,0,575258.1581, 
10,43269,20195,86703,0, , 
11,43269,11978,42483,0, , 
12,43269,5843,29920,0, , 
1,43268,32294,79997,0, , 
2,43268,4019,25015,0, , 
3,43268,3894,31488,14,767042.7093, 
4,43268,11236,63911,90, , 
5,43268,9364,44245,49, , 
6,43268,9638,48666,44, , 
7,43268,13145,72446,67, , 
8,43268,6856,38414,32, , 
9,43268,7904,47367,0, , 
10,43268,20195,86703,0, , 
11,43268,11978,42483,39, , 
12,43268,5843,29920,25, , 
1,43267,32294,79997,0, , 
2,43267,4019,25015,0, , 
3,43267,3880,31488,7,604638.193, 
4,43267,11146,63911,0, , 
5,43267,9315,44245,0, , 
6,43267,9594,48666,0, , 
7,43267,13078,72446,0, , 
8,43267,6824,38414,0, , 
9,43267,7904,47367,0,202415.2514, 
10,43267,20195,86703,0, , 
11,43267,11939,42483,1, , 
12,43267,5818,29920,0, , 
1,43266,32294,79997,328, , 
2,43266,4019,25015,133, , 
3,43266,3873,31488,8,617109.729, 
4,43266,11146,63911,479, , 
5,43266,9315,44245,396, , 
6,43266,9594,48666,389, , 
7,43266,13078,72446,526, , 
8,43266,6824,38414,33, , 
9,43266,7904,47367,34,566559.0887, 
10,43266,20195,86703,62, , 
11,43266,11938,42483,22, , 
12,43266,5818,29920,18, , 
1,43265,31966,79997,0, , 
2,43265,3886,25015,0, , 
3,43265,3865,31488,10,1658468.628, 
4,43265,10667,63911,0, , 
5,43265,8919,44245,0, , 
6,43265,9205,48666,0, , 
7,43265,12552,72446,0, , 
8,43265,6791,38414,15, , 
9,43265,7870,47367,0, , 
10,43265,20133,86703,0, , 
11,43265,11916,42483,13, , 
12,43265,5800,29920,13, , 
1,43264,31966,79997,0, ,0.962452
2,43264,3886,25015,0, ,0.740115
3,43264,3855,31488,25,750802.378,0.690514
4,43264,10667,63911,0, ,0.841495
5,43264,8919,44245,0, ,0.858854
6,43264,9205,48666,0, ,0.85202
7,43264,12552,72446,0, ,0.804904
8,43264,6776,38414,11, ,0.82068
9,43264,7870,47367,0,699564.6653,0.745445
10,43264,20133,86703,0, ,0.772107
11,43264,11903,42483,10, ,0.755461
12,43264,5787,29920,5, ,0.763281
1,43263,31966,79997,0, , 
2,43263,3886,25015,0, , 
3,43263,3830,31488,8,970355.2043, 
4,43263,10667,63911,0, , 
5,43263,8919,44245,0, , 
6,43263,9205,48666,0, , 
7,43263,12552,72446,0, , 
8,43263,6765,38414,38, , 
9,43263,7870,47367,84, , 
10,43263,20133,86703,179, , 
11,43263,11893,42483,44, , 
12,43263,5782,29920,29, , 
1,43262,31966,79997,0, , 
2,43262,3886,25015,0, , 
3,43262,3822,31488,16,1092174.601, 
4,43262,10667,63911,0, , 
5,43262,8919,44245,0, , 
6,43262,9205,48666,0, , 
7,43262,12552,72446,0, , 
8,43262,6727,38414,0, , 
9,43262,7786,47367,0,312675.1862, 
10,43262,19954,86703,0, , 
11,43262,11849,42483,0, , 
12,43262,5753,29920,0, , 
1,43261,31966,79997,0, , 
2,43261,3886,25015,0, , 
3,43261,3806,31488,18,807533.526, 
4,43261,10667,63911,0, , 
5,43261,8919,44245,0, , 
6,43261,9205,48666,0, , 
7,43261,12552,72446,0, , 
8,43261,6727,38414,0, , 
9,43261,7786,47367,0, , 
10,43261,19954,86703,0, , 
11,43261,11849,42483,0, , 
12,43261,5753,29920,0, , 
1,43260,31966,79997,0, , 
2,43260,3886,25015,0, , 
3,43260,3788,31488,4,728928.821, 
4,43260,10667,63911,0, , 
5,43260,8919,44245,0, , 
6,43260,9205,48666,0, , 
7,43260,12552,72446,0, , 
8,43260,6727,38414,19, , 
9,43260,7786,47367,0, , 
10,43260,19954,86703,0, , 
11,43260,11849,42483,33, , 
12,43260,5753,29920,10, , 
1,43259,31966,79997,246, , 
2,43259,3886,25015,0, , 
3,43259,3784,31488,9,1009453.8, 
4,43259,10667,63911,0, , 
5,43259,8919,44245,0, , 
6,43259,9205,48666,0, , 
7,43259,12552,72446,0, , 
8,43259,6708,38414,30, , 
9,43259,7786,47367,55,336725.341, 
10,43259,19954,86703,44, , 
11,43259,11816,42483,17, , 
12,43259,5743,29920,11, , 
1,43258,31720,79997,0, , 
2,43258,3886,25015,0, , 
3,43258,3775,31488,19,1681586.711, 
4,43258,10667,63911,0, , 
5,43258,8919,44245,0, , 
6,43258,9205,48666,0, , 
7,43258,12552,72446,0, , 
8,43258,6678,38414,17, , 
9,43258,7731,47367,0, , 
10,43258,19910,86703,0, , 
11,43258,11799,42483,13, , 
12,43258,5732,29920,7, , 
1,43257,31720,79997,0, ,0.961261
2,43257,3886,25015,0, ,0.739486
3,43257,3756,31488,33,439022.973,0.690101
4,43257,10667,63911,0, ,0.840739
5,43257,8919,44245,0, ,0.858345
6,43257,9205,48666,0, ,0.851663
7,43257,12552,72446,0, ,0.804529
8,43257,6661,38414,13, ,0.820293
9,43257,7731,47367,0,359240.161,0.745089
10,43257,19910,86703,0, ,0.771348
11,43257,11786,42483,9, ,0.754699
12,43257,5725,29920,9, ,0.762905
1,43256,31720,79997,0, , 
2,43256,3886,25015,91, , 
3,43256,3723,31488,10,1411586.222, 
4,43256,10667,63911,0, , 
5,43256,8919,44245,0, , 
6,43256,9205,48666,0, , 
7,43256,12552,72446,0, , 
8,43256,6648,38414,17, , 
9,43256,7731,47367,69, , 
10,43256,19910,86703,59, , 
11,43256,11777,42483,22, , 
12,43256,5716,29920,13, , 
1,43255,31720,79997,0, , 
2,43255,3795,25015,0, , 
3,43255,3713,31488,27,642115.985, 
4,43255,10667,63911,0, , 
5,43255,8919,44245,0, , 
6,43255,9205,48666,0, , 
7,43255,12552,72446,0, , 
8,43255,6631,38414,79, , 
9,43255,7662,47367,0,1278105.435, 
10,43255,19851,86703,0, , 
11,43255,11755,42483,68, , 
12,43255,5703,29920,43, , 
1,43254,31720,79997,0, , 
2,43254,3795,25015,0, , 
3,43254,3686,31488,10,817769.369, 
4,43254,10667,63911,0, , 
5,43254,8919,44245,0, , 
6,43254,9205,48666,0, , 
7,43254,12552,72446,0, , 
8,43254,6552,38414,0, , 
9,43254,7662,47367,0, , 
10,43254,19851,86703,0, , 
11,43254,11687,42483,0, , 
12,43254,5660,29920,0, , 
1,43253,31720,79997,0, , 
2,43253,3795,25015,0, , 
3,43253,3676,31488,4,1073000.22, 
4,43253,10667,63911,0, , 
5,43253,8919,44245,0, , 
6,43253,9205,48666,0, , 
7,43253,12552,72446,0, , 
8,43253,6552,38414,0, , 
9,43253,7662,47367,0, , 
10,43253,19851,86703,0, , 
11,43253,11687,42483,0, , 
12,43253,5660,29920,0, , 
1,43252,31720,79997,238, , 
2,43252,3795,25015,0, , 
3,43252,3672,31488,7,505670.064, 
4,43252,10667,63911,214, , 
5,43252,8919,44245,141, , 
6,43252,9205,48666,165, , 
7,43252,12552,72446,224, , 
8,43252,6552,38414,23, , 
9,43252,7662,47367,22,566436.7816, 
10,43252,19851,86703,11, , 
11,43252,11687,42483,16, , 
12,43252,5660,29920,18, , 
1,43251,31482,79997,0, , 
2,43251,3795,25015,0, , 
3,43251,3665,31488,32,1886062.907, 
4,43251,10453,63911,-158, , 
5,43251,8778,44245,-76, , 
6,43251,9040,48666,-124, , 
7,43251,12328,72446,-167, , 
8,43251,6529,38414,0, , 
9,43251,7640,47367,0, , 
10,43251,19840,86703,0, , 
11,43251,11671,42483,0, , 
12,43251,5642,29920,0, , 
1,43250,31482,79997,0, ,0.960418
2,43250,3795,25015,0, ,0.738896
3,43250,3633,31488,0,310974.231,0.689687
4,43250,10611,63911,53, ,0.839938
5,43250,8854,44245,36, ,0.857815
6,43250,9164,48666,49, ,0.851034
7,43250,12495,72446,83, ,0.804114
8,43250,6529,38414,8, ,0.819699
9,43250,7640,47367,0,1958546.41,0.744503
10,43250,19840,86703,0, ,0.770612
11,43250,11671,42483,3, ,0.7542
12,43250,5642,29920,5, ,0.762324
1,43249,31482,79997,0, , 
2,43249,3795,25015,0, , 
3,43249,3633,31488,8, , 
4,43249,10558,63911,-26, , 
5,43249,8818,44245,-2, , 
6,43249,9115,48666,-22, , 
7,43249,12412,72446,-48, , 
8,43249,6521,38414,5, , 
9,43249,7640,47367,97, , 
10,43249,19840,86703,53, , 
11,43249,11668,42483,19, , 
12,43249,5637,29920,5, , 
1,43248,31482,79997,0, , 
2,43248,3795,25015,0, , 
3,43248,3625,31488,15,1457900.09, 
4,43248,10584,63911,84, , 
5,43248,8820,44245,62, , 
6,43248,9137,48666,47, , 
7,43248,12460,72446,79, , 
8,43248,6516,38414,55, , 
9,43248,7543,47367,0,316958.5939, 
10,43248,19787,86703,0, , 
11,43248,11649,42483,71, , 
12,43248,5632,29920,41, , 
1,43247,31482,79997,0, , 
2,43247,3795,25015,0, , 
3,43247,3610,31488,22,1450593.77, 
4,43247,10500,63911,0, , 
5,43247,8758,44245,1, , 
6,43247,9090,48666,0, , 
7,43247,12381,72446,4, , 
8,43247,6461,38414,0, , 
9,43247,7543,47367,0, , 
10,43247,19787,86703,0, , 
11,43247,11578,42483,0, , 
12,43247,5591,29920,0, , 
1,43246,31482,79997,0, , 
2,43246,3795,25015,0, , 
3,43246,3588,31488,6,557359.898, 
4,43246,10500,63911,85, , 
5,43246,8757,44245,108, , 
6,43246,9090,48666,69, , 
7,43246,12377,72446,97, , 
8,43246,6461,38414,0, , 
9,43246,7543,47367,0, , 
10,43246,19787,86703,0, , 
11,43246,11578,42483,0, , 
12,43246,5591,29920,0, , 
1,43245,31482,79997,201, , 
2,43245,3795,25015,45, , 
3,43245,3582,31488,7,797931.141, 
4,43245,10415,63911,43, , 
5,43245,8649,44245,31, , 
6,43245,9021,48666,38, , 
7,43245,12280,72446,37, , 
8,43245,6461,38414,12, , 
9,43245,7543,47367,17,693623.013, 
10,43245,19787,86703,-9, , 
11,43245,11578,42483,24, , 
12,43245,5591,29920,6, , 
1,43244,31281,79997,0, , 
2,43244,3750,25015,0, , 
3,43244,3575,31488,23,1618490.56, 
4,43244,10372,63911,80, , 
5,43244,8618,44245,68, , 
6,43244,8983,48666,65, , 
7,43244,12243,72446,67, , 
8,43244,6449,38414,12, , 
9,43244,7526,47367,0, , 
10,43244,19796,86703,0, , 
11,43244,11554,42483,10, , 
12,43244,5585,29920,26, , 
1,43243,31281,79997,0, ,0.959316
2,43243,3750,25015,0, ,0.738071
3,43243,3552,31488,23,659529.394,0.689432
4,43243,10292,63911,0, ,0.839182
5,43243,8550,44245,0, ,0.85701
6,43243,8918,48666,0, ,0.8503
7,43243,12176,72446,0, ,0.803552
8,43243,6437,38414,12, ,0.819364
9,43243,7526,47367,0,436066.5018,0.743876
10,43243,19796,86703,0, ,0.76999
11,43243,11544,42483,20, ,0.753653
12,43243,5559,29920,2, ,0.761915
1,43242,31281,79997,0, , 
2,43242,3750,25015,15, , 
3,43242,3529,31488,8,661356.6691, 
4,43242,10292,63911,-30, , 
5,43242,8550,44245,-26, , 
6,43242,8918,48666,-6, , 
7,43242,12176,72446,-22, , 
8,43242,6425,38414,69, , 
9,43242,7526,47367,70, , 
10,43242,19796,86703,56, , 
11,43242,11524,42483,92, , 
12,43242,5557,29920,39, , 
1,43241,31281,79997,0, , 
2,43241,3735,25015,0, , 
3,43241,3521,31488,20,526533.881, 
4,43241,10322,63911,44, , 
5,43241,8576,44245,40, , 
6,43241,8924,48666,26, , 
7,43241,12198,72446,31, , 
8,43241,6356,38414,0, , 
9,43241,7456,47367,0,141454.8392, 
10,43241,19740,86703,0, , 
11,43241,11432,42483,0, , 
12,43241,5518,29920,0, , 
1,43240,31281,79997,0, , 
2,43240,3735,25015,0, , 
3,43240,3501,31488,22,734320.73, 
4,43240,10278,63911,154, , 
5,43240,8536,44245,113, , 
6,43240,8898,48666,119, , 
7,43240,12167,72446,145, , 
8,43240,6356,38414,0, , 
9,43240,7456,47367,0, , 
10,43240,19740,86703,0, , 
11,43240,11432,42483,0, , 
12,43240,5518,29920,0, , 
1,43239,31281,79997,0, , 
2,43239,3735,25015,0, , 
3,43239,3479,31488,4,1862056.84, 
4,43239,10124,63911,0, , 
5,43239,8423,44245,0, , 
6,43239,8779,48666,0, , 
7,43239,12022,72446,0, , 
8,43239,6356,38414,0, , 
9,43239,7456,47367,0, , 
10,43239,19740,86703,0, , 
11,43239,11432,42483,0, , 
12,43239,5518,29920,0, , 
1,43238,31281,79997,126, , 
2,43238,3735,25015,39, , 
3,43238,3475,31488,22,2130545.26, 
4,43238,10124,63911,2, , 
5,43238,8423,44245,-17, , 
6,43238,8779,48666,-29, , 
7,43238,12022,72446,-35, , 
8,43238,6356,38414,24, , 
9,43238,7456,47367,71,158568.2056, 
10,43238,19740,86703,85, , 
11,43238,11432,42483,23, , 
12,43238,5518,29920,16, , 
1,43237,31155,79997,0, , 
2,43237,3696,25015,0, , 
3,43237,3453,31488,11,1890374.186, 
4,43237,10122,63911,42, , 
5,43237,8440,44245,23, , 
6,43237,8808,48666,18, , 
7,43237,12057,72446,43, , 
8,43237,6332,38414,21, , 
9,43237,7385,47367,0, , 
10,43237,19655,86703,0, , 
11,43237,11409,42483,14, , 
12,43237,5502,29920,13, , 
1,43236,31155,79997,0, ,0.958327
2,43236,3696,25015,0, ,0.737363
3,43236,3442,31488,23,574565.118,0.688987
4,43236,10080,63911,13, ,0.838412
5,43236,8417,44245,15, ,0.856204
6,43236,8790,48666,13, ,0.849776
7,43236,12014,72446,24, ,0.803057
8,43236,6311,38414,19, ,0.818616
9,43236,7385,47367,0,677600.3821,0.743248
10,43236,19655,86703,0, ,0.769277
11,43236,11395,42483,22, ,0.752843
12,43236,5489,29920,9, ,0.761402
1,43235,31155,79997,0, , 
2,43235,3696,25015,48, , 
3,43235,3419,31488,5,975851.4608, 
4,43235,10067,63911,12, , 
5,43235,8402,44245,23, , 
6,43235,8777,48666,22, , 
7,43235,11990,72446,23, , 
8,43235,6292,38414,15, , 
9,43235,7385,47367,138, , 
10,43235,19655,86703,107, , 
11,43235,11373,42483,12, , 
12,43235,5480,29920,12, , 
1,43234,31155,79997,0, , 
2,43234,3648,25015,0, , 
3,43234,3414,31488,11,2191792.62, 
4,43234,10055,63911,20, , 
5,43234,8379,44245,16, , 
6,43234,8755,48666,24, , 
7,43234,11967,72446,28, , 
8,43234,6277,38414,24, , 
9,43234,7247,47367,0,333023.6053, 
10,43234,19548,86703,0, , 
11,43234,11361,42483,39, , 
12,43234,5468,29920,32, , 
1,43233,31155,79997,0, , 
2,43233,3648,25015,0, , 
3,43233,3403,31488,22,396303.847, 
4,43233,10035,63911,23, , 
5,43233,8363,44245,24, , 
6,43233,8731,48666,16, , 
7,43233,11939,72446,25, , 
8,43233,6253,38414,0, , 
9,43233,7247,47367,0, , 
10,43233,19548,86703,0, , 
11,43233,11322,42483,0, , 
12,43233,5436,29920,0, , 
1,43232,31155,79997,0, , 
2,43232,3648,25015,0, , 
3,43232,3381,31488,6,434802.26, 
4,43232,10012,63911,49, , 
5,43232,8339,44245,41, , 
6,43232,8715,48666,34, , 
7,43232,11914,72446,41, , 
8,43232,6253,38414,21, , 
9,43232,7247,47367,0, , 
10,43232,19548,86703,0, , 
11,43232,11322,42483,27, , 
12,43232,5436,29920,26, , 
1,43231,31155,79997,73, , 
2,43231,3648,25015,0, , 
3,43231,3375,31488,22,1673576.782, 
4,43231,9963,63911,36, , 
5,43231,8298,44245,17, , 
6,43231,8681,48666,23, , 
7,43231,11873,72446,36, , 
8,43231,6232,38414,18, , 
9,43231,7247,47367,63,358951.7866, 
10,43231,19548,86703,81, , 
11,43231,11295,42483,19, , 
12,43231,5410,29920,9, , 
1,43230,31082,79997,0, , 
2,43230,3648,25015,0, , 
3,43230,3353,31488,12,856668.465, 
4,43230,9927,63911,19, , 
5,43230,8281,44245,10, , 
6,43230,8658,48666,10, , 
7,43230,11837,72446,11, , 
8,43230,6214,38414,8, , 
9,43230,7184,47367,0, , 
10,43230,19467,86703,0, , 
11,43230,11276,42483,5, , 
12,43230,5401,29920,9, , 
1,43229,31082,79997,0, ,0.957327
2,43229,3648,25015,0, ,0.736617
3,43229,3341,31488,11,471038.003,0.688701
4,43229,9908,63911,22, ,0.837582
5,43229,8271,44245,11, ,0.855462
6,43229,8648,48666,11, ,0.849104
7,43229,11826,72446,8, ,0.802535
8,43229,6206,38414,7, ,0.818126
9,43229,7184,47367,0,928168.2211,0.742767
10,43229,19467,86703,0, ,0.768483
11,43229,11271,42483,9, ,0.752011
12,43229,5392,29920,6, ,0.760924
1,43228,31082,79997,0, , 
2,43228,3648,25015,48, , 
3,43228,3330,31488,2,1159202.393, 
4,43228,9886,63911,14, , 
5,43228,8260,44245,3, , 
6,43228,8637,48666,10, , 
7,43228,11818,72446,8, , 
8,43228,6199,38414,9, , 
9,43228,7184,47367,77, , 
10,43228,19467,86703,92, , 
11,43228,11262,42483,7, , 
12,43228,5386,29920,3, , 
1,43227,31082,79997,0, , 
2,43227,3600,25015,0, , 
3,43227,3328,31488,11,1778663.981, 
4,43227,9872,63911,14, , 
5,43227,8257,44245,36, , 
6,43227,8627,48666,19, , 
7,43227,11810,72446,20, , 
8,43227,6190,38414,33, , 
9,43227,7107,47367,0,192276.7846, 
10,43227,19375,86703,0, , 
11,43227,11255,42483,24, , 
12,43227,5383,29920,28, , 
1,43226,31082,79997,0, , 
2,43226,3600,25015,0, , 
3,43226,3317,31488,12,107832.636, 
4,43226,9858,63911,26, , 
