Date,Cases.to.Date,Population,New.Cases,Viral.RNA,Vaccine.Proportion
43375,157019,610655,48,649352.295,NA
43374,156971,610655,1,532331.2601,NA
43373,156970,610655,5,492000,NA
43372,156965,610655,44,125000,NA
43371,156921,610655,133,880576.6307,NA
43370,156788,610655,100,366074.3266,NA
43369,156688,610655,69,447941.2147,0.81189725
43368,156619,610655,79,476910.1286,NA
43367,156540,610655,0,593015.8367,NA
43366,156540,610655,8,161000,NA
43365,156532,610655,51,270000,NA
43364,156481,610655,-634,243228.3672,NA
43363,157115,610655,-118,385384.0155,NA
43362,157233,610655,-943,136624.281,0.81126225
43361,158176,610655,1102,580041.9221,NA
43360,157074,610655,2,315092.5272,NA
43359,157072,610655,12,170000,NA
43358,157060,610655,530,320292.2226,NA
43357,156530,610655,357,106300.1132,NA
43356,156173,610655,401,242652.6648,NA
43355,155772,610655,61,423637.0718,0.810566833
43354,155711,610655,106,492828.5722,NA
43353,155605,610655,1,287350.0459,NA
43352,155604,610655,2,217887.311,NA
43351,155602,610655,141,502453.4016,NA
43350,155461,610655,179,475372.7819,NA
43349,155282,610655,243,580809.5445,NA
43348,155039,610655,169,443644.5298,0.809937583
43347,154870,610655,31,511555.9977,NA
43346,154839,610655,8,712555.7265,NA
43345,154831,610655,25,278574.973,NA
43344,154806,610655,26,541660.6902,NA
43343,154780,610655,342,475992.2894,NA
43342,154438,610655,37,1176145.813,NA
43341,154401,610655,8,449460.9162,0.809446583
43340,154393,610655,365,887234.2968,NA
43339,154028,610655,7,559174.2547,NA
43338,154021,610655,24,341664.218,NA
43337,153997,610655,79,374677.8882,NA
43336,153918,610655,644,422848.4401,NA
43335,153274,610655,2,468112.9286,NA
43334,153272,610655,5,662462.5454,0.808693583
43333,153267,610655,302,758740.8466,NA
43332,152965,610655,7,630261.6498,NA
43331,152958,610655,13,139627.686,NA
43330,152945,610655,108,465490.9425,NA
43329,152837,610655,454,1949561.665,NA
43328,152383,610655,126,1470590.198,NA
43327,152257,610655,172,651481.6862,0.807783833
43326,152085,610655,298,1124263.995,NA
43325,151787,610655,9,771022.1243,NA
43324,151778,610655,7,257155.34,NA
43323,151771,610655,192,652500.9094,NA
43322,151579,610655,455,398315.7981,NA
43321,151124,610655,85,1586684.813,NA
43320,151039,610655,135,1164797.186,0.806800333
43319,150904,610655,526,712962.6465,NA
43318,150378,610655,9,720025.0961,NA
43317,150369,610655,10,1061434.26,NA
43316,150359,610655,201,365356.005,NA
43315,150158,610655,730,898989.9525,NA
43314,149428,610655,84,2038448.61,NA
43313,149344,610655,7,373172.6884,0.805652167
43312,149337,610655,862,937362.4471,NA
43311,148475,610655,22,1819602.34,NA
43310,148453,610655,19,362797.728,NA
43309,148434,610655,-39,946764.7113,NA
43308,148473,610655,913,1299819.214,NA
43307,147560,610655,223,1238605.632,NA
43306,147337,610655,407,1826149.51,0.804450667
43305,146930,610655,332,1688484.067,NA
43304,146598,610655,95,1173832.657,NA
43303,146503,610655,20,913392.526,NA
43302,146483,610655,32,1125185.182,NA
43301,146451,610655,1015,1702328.92,NA
