Date,Cases.to.Date,Population,New.Cases,Viral.RNA,Vaccine.Proportion
42824,36037,476585,50,9979.747884,NA
42823,35987,476585,5,7385.913492,0.2202186
42822,35982,476585,120,18586.25544,NA
42821,35862,476585,9,0,NA
42820,35853,476585,24,6104.917884,NA
42819,35829,476585,16,4517.666856,NA
42818,35813,476585,33,6861.948804,NA
42817,35780,476585,14,4239.308736,NA
42816,35766,476585,4,6338.186436,0.1820292
42815,35762,476585,19,5338.278732,NA
42814,35743,476585,38,0,NA
42813,35705,476585,21,2308.129488,NA
42812,35684,476585,32,7585.17018,NA
42811,35652,476585,44,1272.8583,NA
42810,35608,476585,27,758.6736996,NA
42809,35581,476585,46,1507.374396,0.14943
42808,35535,476585,19,2787.969144,NA
42807,35516,476585,34,1798.266419,NA
42806,35482,476585,49,5564.28246,NA
42805,35433,476585,39,1045.036104,NA
42804,35394,476585,105,7670.801772,NA
42803,35289,476585,148,14261.31576,NA
42802,35141,476585,60,13130.37336,0.1105881
42801,35081,476585,59,8849.377152,NA
42800,35022,476585,15,0,NA
42799,35007,476585,42,20612.08092,NA
42798,34965,476585,27,13777.94328,NA
42797,34938,476585,49,13854.22044,NA
42796,34889,476585,10,0,NA
42795,34879,476585,153,0,0.0874765
42794,34726,476585,13,15593.3154,NA
42793,34713,476585,35,0,NA
42792,34678,476585,83,30504.6708,NA
42791,34595,476585,26,18636.4662,NA
42790,34569,476585,33,15116.81016,NA
42789,34536,476585,215,5486.457564,NA
42788,34321,476585,22,11116.52988,0.0634044
42787,34299,476585,14,4876.636992,NA
42786,34285,476585,51,10520.82532,NA
42785,34234,476585,21,5426.540004,NA
42784,34213,476585,74,7240.856532,NA
42783,34139,476585,173,9719.916756,NA
42782,33966,476585,37,0,NA
42781,33929,476585,78,0,0.0456681
42780,33851,476585,56,5249.993688,NA
42779,33795,476585,20,0,NA
42778,33775,476585,89,5414.40234,NA
42777,33686,476585,116,29972.10648,NA
42776,33570,476585,117,11625.47068,NA
42775,33453,476585,62,13822.92948,NA
42774,33391,476585,133,21855.87312,NA
42773,33258,476585,207,23866.37436,NA
42772,33051,476585,203,63723.48648,NA
42771,32848,476585,66,6084.004212,NA
42770,32782,476585,242,33108.28236,NA
42769,32540,476585,152,16215.61716,NA
42768,32388,476585,48,54952.61808,NA
42767,32340,476585,165,9065.243508,NA
42766,32175,476585,391,7304.359632,NA
42765,31784,476585,127,14633.2308,NA
42764,31657,476585,190,22073.30184,NA
42763,31467,476585,72,7617.033396,NA
42762,31395,476585,258,21477.62544,NA
42761,31137,476585,110,10645.43935,NA
42760,31027,476585,148,17338.02108,NA
42759,30879,476585,169,38325.1146,NA
42758,30710,476585,130,46831.89996,NA
42757,30580,476585,244,26094.24048,NA
42756,30336,476585,186,36017.03592,NA
42755,30150,476585,453,77120.6862,NA
42754,29697,476585,357,58259.42412,NA
42753,29340,476585,198,0,NA
42752,29142,476585,185,36984.82836,NA
42751,28957,476585,103,34087.32108,NA
42750,28854,476585,409,41048.83836,NA
42749,28445,476585,326,68770.3056,NA
42748,28119,476585,461,38589.32628,NA
42747,27658,476585,793,16643.69676,NA
42746,26865,476585,478,25687.66224,0.0056024
42745,26387,476585,347,49535.7486,NA
42744,26040,476585,143,15976.2,NA
42743,25897,476585,436,50465.13096,NA
42742,25461,476585,335,50679.18948,NA
42741,25126,476585,129,34164.94992,NA
42740,24997,476585,772,10762.80704,NA
42739,24225,476585,109,37871.73228,NA
42738,24116,476585,302,23113.62096,NA
42737,23814,476585,297,39256.03956,NA
42736,23517,476585,698,25911.94188,NA
42735,22819,476585,111,62059.19664,NA
42734,22708,476585,310,82123.78248,NA
42733,22398,476585,143,9435.305388,NA
42732,22255,476585,190,19944.74412,NA
42731,22065,476585,308,20171.77644,NA
42730,21757,476585,532,19305.00456,NA
42729,21225,476585,669,37684.36224,NA
42728,20556,476585,79,32426.01504,NA
42727,20477,476585,454,90815.17608,NA
42726,20023,476585,396,54916.64232,NA
42725,19627,476585,239,23718.65964,NA
42724,19388,476585,512,13815.89988,NA
42723,18876,476585,705,16405.3428,NA
42722,18171,476585,284,13082.4072,NA
42721,17887,476585,373,22746.24396,NA
42720,17514,476585,232,25095.68616,NA
42719,17282,476585,652,34357.92444,NA
42718,16630,476585,507,30637.61796,NA
42717,16123,476585,429,16148.81184,NA
42716,15694,476585,416,76086.645,NA
42715,15278,476585,151,54228.58644,NA
42714,15127,476585,586,59047.93219,NA
42713,14541,476585,79,24146.17008,NA
42712,14462,476585,217,52203.4662,NA
42711,14245,476585,168,24627.06432,NA
42710,14077,476585,406,0,NA
42709,13671,476585,106,0,NA
42708,13565,476585,229,0,NA
42707,13336,476585,259,21776.89464,NA
42706,13077,476585,286,0,NA
42705,12791,476585,93,0,NA
42704,12698,476585,325,0,NA
42703,12373,476585,160,0,NA
42702,12213,476585,165,0,NA
42701,12048,476585,258,0,NA
42700,11790,476585,48,0,NA
42699,11742,476585,61,0,NA
42698,11681,476585,50,0,NA
42697,11631,476585,102,0,NA
42696,11529,476585,94,0,NA
42695,11435,476585,92,0,NA
42694,11343,476585,72,0,NA
42693,11271,476585,113,0,NA
42692,11158,476585,74,0,NA
42691,11084,476585,88,0,NA
42690,10996,476585,82,0,NA
42689,10914,476585,69,21737.83668,NA
42688,10845,476585,25,0,NA
42687,10820,476585,131,0,NA
42686,10689,476585,37,0,NA
42685,10652,476585,63,0,NA
42684,10589,476585,93,0,NA
42683,10496,476585,86,0,NA
42682,10410,476585,82,8751.436056,NA
42681,10328,476585,54,0,NA
42680,10274,476585,64,0,NA
42679,10210,476585,91,0,NA
42678,10119,476585,80,0,NA
42677,10039,476585,67,0,NA
42676,9972,476585,42,0,NA
42675,9930,476585,54,14825.86548,NA
42674,9876,476585,44,0,NA
42673,9832,476585,45,0,NA
42672,9787,476585,74,4216.396992,NA
42671,9713,476585,63,0,NA
42670,9650,476585,64,0,NA
42669,9586,476585,36,0,NA
42668,9550,476585,43,8692.441824,NA
42667,9507,476585,46,0,NA
42666,9461,476585,71,0,NA
42665,9390,476585,45,2583.593808,NA
42664,9345,476585,59,0,NA
42663,9286,476585,42,0,NA
42662,9244,476585,64,0,NA
42661,9180,476585,65,0,NA
42660,9115,476585,33,0,NA
42659,9082,476585,79,0,NA
42658,9003,476585,41,0,NA
42657,8962,476585,45,0,NA
42656,8917,476585,27,0,NA
42655,8890,476585,39,0,NA
42654,8851,476585,49,0,NA
42653,8802,476585,27,0,NA
42652,8775,476585,56,0,NA
42651,8719,476585,49,0,NA
42650,8670,476585,60,0,NA
42649,8610,476585,29,0,NA
42648,8581,476585,61,0,NA
42647,8520,476585,51,0,NA
42646,8469,476585,43,0,NA
42645,8426,476585,36,0,NA
42644,8390,476585,45,0,NA
42643,8345,476585,66,0,NA
42642,8279,476585,42,0,NA
42641,8237,476585,40,0,NA
42640,8197,476585,36,0,NA
42639,8161,476585,26,0,NA
42638,8135,476585,53,0,NA
42637,8082,476585,45,0,NA
42636,8037,476585,62,0,NA
42635,7975,476585,49,0,NA
42634,7926,476585,43,0,NA
42633,7883,476585,49,0,NA
42632,7834,476585,38,0,NA
42631,7796,476585,44,0,NA
42630,7752,476585,51,0,NA
42629,7701,476585,48,0,NA
42628,7653,476585,32,0,NA
42627,7621,476585,35,0,NA
42626,7586,476585,44,0,NA
42625,7542,476585,35,0,NA
42624,7507,476585,24,0,NA
42623,7483,476585,56,0,NA
42622,7427,476585,53,0,NA
42621,7374,476585,48,0,NA
42620,7326,476585,44,0,NA
42619,7282,476585,27,0,NA
42618,7255,476585,23,0,NA
42617,7232,476585,54,0,NA
42616,7178,476585,73,0,NA
42615,7105,476585,59,0,NA
42614,7046,476585,96,0,NA
42613,6950,476585,66,0,NA
42612,6884,476585,58,0,NA
42611,6826,476585,64,0,NA
42610,6762,476585,63,0,NA
42609,6699,476585,82,0,NA
42608,6617,476585,54,0,NA
42607,6563,476585,72,0,NA
42606,6491,476585,83,0,NA
42605,6408,476585,55,0,NA
42604,6353,476585,37,0,NA
42603,6316,476585,77,0,NA
42602,6239,476585,88,0,NA
42601,6151,476585,75,0,NA
42600,6076,476585,66,0,NA
42599,6010,476585,67,0,NA
42598,5943,476585,105,0,NA
42597,5838,476585,58,0,NA
42596,5780,476585,52,0,NA
42595,5728,476585,87,0,NA
42594,5641,476585,111,0,NA
42593,5530,476585,98,0,NA
42592,5432,476585,112,0,NA
42591,5320,476585,91,0,NA
42590,5229,476585,59,0,NA
42589,5170,476585,69,0,NA
42588,5101,476585,101,0,NA
42587,5000,476585,111,0,NA
42586,4889,476585,101,0,NA
42585,4788,476585,92,0,NA
42584,4696,476585,69,0,NA
42583,4627,476585,51,0,NA
42582,4576,476585,44,0,NA
42581,4532,476585,82,0,NA
42580,4450,476585,61,0,NA
42579,4389,476585,72,0,NA
42578,4317,476585,52,0,NA
42577,4265,476585,88,0,NA
42576,4177,476585,58,0,NA
42575,4119,476585,48,0,NA
42574,4071,476585,90,0,NA
42573,3981,476585,76,0,NA
42572,3905,476585,71,0,NA
42571,3834,476585,98,0,NA
42570,3736,476585,80,0,NA
42569,3656,476585,82,0,NA
42568,3574,476585,54,0,NA
42567,3520,476585,64,0,NA
42566,3456,476585,83,0,NA
42565,3373,476585,58,0,NA
42564,3315,476585,68,0,NA
42563,3247,476585,75,0,NA
42562,3172,476585,42,0,NA
42561,3130,476585,66,0,NA
42560,3064,476585,94,0,NA
42559,2970,476585,76,0,NA
42558,2894,476585,68,0,NA
42557,2826,476585,56,0,NA
42556,2770,476585,73,0,NA
42555,2697,476585,48,0,NA
42554,2649,476585,83,0,NA
42553,2566,476585,78,0,NA
42552,2488,476585,76,0,NA
42551,2412,476585,70,0,NA
42550,2342,476585,50,0,NA
42549,2292,476585,42,0,NA
42548,2250,476585,39,0,NA
42547,2211,476585,37,0,NA
42546,2174,476585,53,0,NA
42545,2121,476585,50,0,NA
42544,2071,476585,42,0,NA
42543,2029,476585,36,0,NA
42542,1993,476585,43,0,NA
42541,1950,476585,60,0,NA
42540,1890,476585,33,0,NA
42539,1857,476585,38,0,NA
42538,1819,476585,29,0,NA
42537,1790,476585,26,0,NA
42536,1764,476585,24,0,NA
42535,1740,476585,20,0,NA
42534,1720,476585,24,0,NA
42533,1696,476585,11,0,NA
42532,1685,476585,17,0,NA
42531,1668,476585,13,0,NA
42530,1655,476585,16,0,NA
42529,1639,476585,27,0,NA
42528,1612,476585,31,0,NA
42527,1581,476585,25,0,NA
42526,1556,476585,28,0,NA
42525,1528,476585,28,0,NA
42524,1500,476585,36,0,NA
42523,1464,476585,26,0,NA
42522,1438,451570,18,0,NA
42521,1420,451570,13,0,NA
42520,1407,451570,16,0,NA
42519,1391,451570,19,0,NA
42518,1372,451570,32,0,NA
42517,1340,451570,25,0,NA
42516,1315,451570,21,0,NA
42515,1294,451570,12,0,NA
42514,1282,451570,20,0,NA
42513,1262,451570,21,0,NA
42512,1241,451570,21,0,NA
42511,1220,451570,28,0,NA
42510,1192,451570,27,0,NA
42509,1165,451570,30,0,NA
42508,1135,451570,17,0,NA
42507,1118,451570,18,0,NA
42506,1100,451570,22,0,NA
42505,1078,451570,23,0,NA
42504,1055,451570,23,0,NA
42503,1032,451570,19,0,NA
42502,1013,451570,34,0,NA
42501,979,451570,15,0,NA
42500,964,451570,15,0,NA
42499,949,451570,18,0,NA
42498,931,451570,23,0,NA
42497,908,451570,18,0,NA
42496,890,451570,27,0,NA
42495,863,451570,16,0,NA
42494,847,451570,40,0,NA
42493,807,451570,29,0,NA
42492,778,451570,19,0,NA
42491,759,451570,10,0,NA
42490,749,451570,25,0,NA
42489,724,451570,26,0,NA
42488,698,451570,16,0,NA
42487,682,451570,24,0,NA
42486,658,451570,42,0,NA
42485,616,451570,43,0,NA
42484,573,451570,9,0,NA
42483,564,451570,29,0,NA
42482,535,451570,43,0,NA
42481,492,451570,50,0,NA
42480,442,451570,13,0,NA
42479,429,451570,41,0,NA
42478,388,451570,14,0,NA
42477,374,451570,14,0,NA
42476,360,451570,13,0,NA
42475,347,451570,18,0,NA
42474,329,451570,15,0,NA
42473,314,451570,19,0,NA
42472,295,451570,11,0,NA
42471,284,451570,17,0,NA
42470,267,451570,9,0,NA
42469,258,451570,15,0,NA
42468,243,451570,13,0,NA
42467,230,451570,19,0,NA
42466,211,451570,9,0,NA
42465,202,451570,13,0,NA
42464,189,451570,7,0,NA
42463,182,451570,8,0,NA
42462,174,451570,10,0,NA
42461,164,451570,13,0,NA
42460,151,451570,7,0,NA
42459,144,451570,10,0,NA
42458,134,451570,25,0,NA
