Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/liter of wastewater),Proportion of Population Fully Vaccinated
94110,2/17/23,16797,94161,2, , 
94110,2/16/23,16795,94161,5, , 
94110,2/15/23,16790,94161,15, , 
94110,2/14/23,16775,94161,4,735888.1,0.876679
94110,2/13/23,16771,94161,13, , 
94110,2/12/23,16758,94161,5, , 
94110,2/11/23,16753,94161,13, , 
94110,2/10/23,16740,94161,8, , 
94110,2/9/23,16732,94161,3, , 
94110,2/8/23,16729,94161,5, , 
94110,2/7/23,16724,94161,8,267950.2,0.876292
94110,2/6/23,16716,94161,44, , 
94110,2/5/23,16672,94161,0, , 
94110,2/4/23,16672,94161,0, , 
94110,2/3/23,16672,94161,0, , 
94110,2/2/23,16672,94161,0, , 
94110,2/1/23,16672,94161,0, , 
94110,1/31/23,16672,94161,6,105960,0.876085
94110,1/30/23,16666,94161,4, , 
94110,1/29/23,16662,94161,8, , 
94110,1/28/23,16654,94161,11, , 
94110,1/27/23,16643,94161,3, , 
94110,1/26/23,16640,94161,4,69929.5, 
94110,1/25/23,16636,94161,12, , 
94110,1/24/23,16624,94161,3, ,0.875836
94110,1/23/23,16621,94161,3, , 
94110,1/22/23,16618,94161,6, , 
94110,1/21/23,16612,94161,7, , 
94110,1/20/23,16605,94161,1, , 
94110,1/19/23,16604,94161,2,177366.3177, 
94110,1/18/23,16602,94161,17,229508.7369, 
94110,1/17/23,16585,94161,0, ,0.875546
94110,1/16/23,16585,94161,5, , 
94110,1/15/23,16580,94161,5, , 
94110,1/14/23,16575,94161,11, , 
94110,1/13/23,16564,94161,1, , 
94110,1/12/23,16563,94161,3,198125.7, 
94110,1/11/23,16560,94161,9, , 
94110,1/10/23,16551,94161,12, ,0.875228
94110,1/9/23,16539,94161,6, , 
94110,1/8/23,16533,94161,14, , 
94110,1/7/23,16519,94161,6, , 
94110,1/6/23,16513,94161,5, , 
94110,1/5/23,16508,94161,7,329015.035, 
94110,1/4/23,16501,94161,20,367879.7302, 
94110,1/3/23,16481,94161,0, ,0.875021
94110,1/2/23,16481,94161,13, , 
94110,1/1/23,16468,94161,15, , 
94110,12/31/22,16453,94161,20, , 
94110,12/30/22,16433,94161,5, , 
94110,12/29/22,16428,94161,5,923962.0361, 
94110,12/28/22,16423,94161,28,755584.4116, 
94110,12/27/22,16395,94161,0, ,0.874869
94110,12/26/22,16395,94161,8, , 
94110,12/25/22,16387,94161,10, , 
94110,12/24/22,16377,94161,26, , 
94110,12/23/22,16351,94161,9, , 
94110,12/22/22,16342,94161,9,864067.4032, 
94110,12/21/22,16333,94161,19,473082.5501, 
94110,12/20/22,16314,94161,10, ,0.874662
94110,12/19/22,16304,94161,28, , 
94110,12/18/22,16276,94161,22, , 
94110,12/17/22,16254,94161,27, , 
94110,12/16/22,16227,94161,7, , 
94110,12/15/22,16220,94161,3,1641404.2, 
94110,12/14/22,16217,94161,20,344860, 
94110,12/13/22,16197,94161,21,667113.6,0.874358
94110,12/12/22,16176,94161,17, , 
94110,12/11/22,16159,94161,27, , 
94110,12/10/22,16132,94161,22, , 
94110,12/9/22,16110,94161,9, , 
94110,12/8/22,16101,94161,1,299528.6357, 
94110,12/7/22,16100,94161,19,918780.2, 
94110,12/6/22,16081,94161,25,620590.2303,0.874109
94110,12/5/22,16056,94161,12, , 
94110,12/4/22,16044,94161,26, , 
94110,12/3/22,16018,94161,23, , 
94110,12/2/22,15995,94161,9, , 
94110,12/1/22,15986,94161,8,815864.3392, 
94110,11/30/22,15978,94161,9,2002793.9, 
94110,11/29/22,15969,94161,29,942069.0104,0.873736
94110,11/28/22,15940,94161,0, , 
94110,11/27/22,15940,94161,0, , 
94110,11/26/22,15940,94161,19, , 
94110,11/25/22,15921,94161,2, , 
94110,11/24/22,15919,94161,2, , 
94110,11/23/22,15917,94161,9,389691.1, 
94110,11/22/22,15908,94161,11,295164.917,0.87357
94110,11/21/22,15897,94161,10, , 
94110,11/20/22,15887,94161,6, , 
94110,11/19/22,15881,94161,7, , 
94110,11/18/22,15874,94161,5, , 
94110,11/17/22,15869,94161,-1,429119, 
94110,11/16/22,15870,94161,9,251940.7196, 
94110,11/15/22,15861,94161,20,114391.5583,0.873128
94110,11/14/22,15841,94161,0, , 
94110,11/13/22,15841,94161,8, , 
94110,11/12/22,15833,94161,14, , 
94110,11/11/22,15819,94161,7, , 
94110,11/10/22,15812,94161,25,614980.9774, 
94110,11/9/22,15787,94161,7,451177.2359, 
94110,11/8/22,15780,94161,20,422355.5,0.872713
94110,11/7/22,15760,94161,8, , 
94110,11/6/22,15752,94161,12, , 
94110,11/5/22,15740,94161,14, , 
94110,11/4/22,15726,94161,6, , 
94110,11/3/22,15720,94161,14,189135.1, 
94110,11/2/22,15706,94161,0,29948.73556, 
94110,11/1/22,15706,94161,4,53190.17029,0.872271
94110,10/31/22,15702,94161,4, , 
94110,10/30/22,15698,94161,5, , 
94110,10/29/22,15693,94161,7, , 
94110,10/28/22,15686,94161,4, , 
94110,10/27/22,15682,94161,3,77047.43703, 
94110,10/26/22,15679,94161,4,60161.3, 
94110,10/25/22,15675,94161,3,91784.4,0.871746
94110,10/24/22,15672,94161,5, , 
94110,10/23/22,15667,94161,4, , 
94110,10/22/22,15663,94161,14, , 
94110,10/21/22,15649,94161,0, , 
94110,10/20/22,15649,94161,3,28497.4, 
94110,10/19/22,15646,94161,9,73524.6, 
94110,10/18/22,15637,94161,4,98377.9,0.871304
94110,10/17/22,15633,94161,2, , 
94110,10/16/22,15631,94161,7, , 
94110,10/15/22,15624,94161,5, , 
94110,10/14/22,15619,94161,3, , 
94110,10/13/22,15616,94161,1,30403.9116, 
94110,10/12/22,15615,94161,11,73810, 
94110,10/11/22,15604,94161,0, ,0.870917
94110,10/10/22,15604,94161,6, , 
94110,10/9/22,15598,94161,12, , 
94110,10/8/22,15586,94161,15, , 
94110,10/7/22,15571,94161,3, , 
94110,10/6/22,15568,94161,5,713750, 
94110,10/5/22,15563,94161,7,289840.8713, 
94110,10/4/22,15556,94161,8,118466.0404,0.870475
94110,10/3/22,15548,94161,5, , 
94110,10/2/22,15543,94161,14, , 
94110,10/1/22,15529,94161,2, , 
94110,9/30/22,15527,94161,2, , 
94110,9/29/22,15525,94161,2,762911.8449, 
94110,9/28/22,15523,94161,100,194517.974, 
94110,9/27/22,15423,94161,4,210453.164,0.86995
94110,9/26/22,15419,94161,3, , 
94110,9/25/22,15416,94161,5, , 
94110,9/24/22,15411,94161,7, , 
94110,9/23/22,15404,94161,1, , 
94110,9/22/22,15403,94161,2,329176.6154, 
94110,9/21/22,15401,94161,3,470188.3952, 
94110,9/20/22,15398,94161,4,266822.0266,0.868942
94110,9/19/22,15394,94161,3, , 
94110,9/18/22,15391,94161,10, , 
94110,9/17/22,15381,94161,2, , 
94110,9/16/22,15379,94161,8, , 
94110,9/15/22,15371,94161,2,291584.2896, 
94110,9/14/22,15369,94161,2,338191.5283, 
94110,9/13/22,15367,94161,9,169251.2207,0.867947
94110,9/12/22,15358,94161,9, , 
94110,9/11/22,15349,94161,8, , 
94110,9/10/22,15341,94161,2, , 
94110,9/9/22,15339,94161,4, , 
94110,9/8/22,15335,94161,8,396968.2312, 
94110,9/7/22,15327,94161,12,154777.8473, 
