Zip Code,Date,Cases to Date,Population,New Cases,Viral RNA Concentration (copies/liter of wastewater),Proportion of Population Fully Vaccinated
94607,2/17/23,6877,26646,0,583751.7, 
94607,2/16/23,6877,26646,0, , 
94607,2/15/23,6877,26646,2,493351.2, 
94607,2/14/23,6875,26646,18,359171.5,0.816128
94607,2/13/23,6857,26646,0, , 
94607,2/12/23,6857,26646,0, , 
94607,2/11/23,6857,26646,3, , 
94607,2/10/23,6854,26646,0, , 
94607,2/9/23,6854,26646,0,306816.7, 
94607,2/8/23,6854,26646,3,344193.1, 
94607,2/7/23,6851,26646,9,363086.4,0.815942
94607,2/6/23,6842,26646,0, , 
94607,2/5/23,6842,26646,0, , 
94607,2/4/23,6842,26646,0, , 
94607,2/3/23,6842,26646,868, , 
94607,2/2/23,5974,26646,-879,495683.1, 
94607,2/1/23,6853,26646,1,373867.1, 
94607,1/31/23,6852,26646,0,344581.8,0.815569
94607,1/30/23,6852,26646,7, , 
94607,1/29/23,6845,26646,0, , 
94607,1/28/23,6845,26646,0, , 
94607,1/27/23,6845,26646,2, , 
94607,1/26/23,6843,26646,4,310813, 
94607,1/25/23,6839,26646,0,241839.9, 
94607,1/24/23,6839,26646,2,207259.669,0.815382
94607,1/23/23,6837,26646,0, , 
94607,1/22/23,6837,26646,0, , 
94607,1/21/23,6837,26646,0, , 
94607,1/20/23,6837,26646,-2, , 
94607,1/19/23,6839,26646,7,168224.9908, 
94607,1/18/23,6832,26646,0,112604.2, 
94607,1/17/23,6832,26646,10,72706.3,0.814935
94607,1/16/23,6822,26646,0, , 
94607,1/15/23,6822,26646,0, , 
94607,1/14/23,6822,26646,0, , 
94607,1/13/23,6822,26646,0, , 
94607,1/12/23,6822,26646,7,86470.4, 
94607,1/11/23,6815,26646,0,88675.3, 
94607,1/10/23,6815,26646,6,91646.6,0.814749
94607,1/9/23,6809,26646,0, , 
94607,1/8/23,6809,26646,0, , 
94607,1/7/23,6809,26646,0, , 
94607,1/6/23,6809,26646,0, , 
94607,1/5/23,6809,26646,11,186703.1047, 
94607,1/4/23,6798,26646,11,344445.343, 
94607,1/3/23,6787,26646,0,320877.2786,0.814562
94607,1/2/23,6787,26646,0, , 
94607,1/1/23,6787,26646,0, , 
94607,12/31/22,6787,26646,3, , 
94607,12/30/22,6784,26646,3,551051.9206, 
94607,12/29/22,6781,26646,3,692807.6, 
94607,12/28/22,6778,26646,0,263790.1459, 
94607,12/27/22,6778,26646,24, ,0.814338
94607,12/26/22,6754,26646,0, , 
94607,12/25/22,6754,26646,0, , 
94607,12/24/22,6754,26646,0, , 
94607,12/23/22,6754,26646,0, , 
94607,12/22/22,6754,26646,4,840709.7778, 
94607,12/21/22,6750,26646,2,923742.1672, 
94607,12/20/22,6748,26646,23,577151.6,0.814227
94607,12/19/22,6725,26646,0, , 
94607,12/18/22,6725,26646,0, , 
94607,12/17/22,6725,26646,0, , 
94607,12/16/22,6725,26646,0, , 
94607,12/15/22,6725,26646,0,1020300.7, 
94607,12/14/22,6725,26646,5,689352.2, 
94607,12/13/22,6720,26646,6,583060.9,0.813854
94607,12/12/22,6714,26646,24, , 
94607,12/11/22,6690,26646,0, , 
94607,12/10/22,6690,26646,0, , 
94607,12/9/22,6690,26646,17, , 
94607,12/8/22,6673,26646,3,1039342.712, 
94607,12/7/22,6670,26646,1,2225464.4, 
94607,12/6/22,6669,26646,3,710962.4,0.813667
94607,12/5/22,6666,26646,19, , 
94607,12/4/22,6647,26646,0, , 
94607,12/3/22,6647,26646,0, , 
94607,12/2/22,6647,26646,21, , 
94607,12/1/22,6626,26646,0,858883.7, 
94607,11/30/22,6626,26646,1,236627, 
94607,11/29/22,6625,26646,22,772601.0539,0.813183
94607,11/28/22,6603,26646,0, , 
94607,11/27/22,6603,26646,0, , 
94607,11/26/22,6603,26646,0, , 
94607,11/25/22,6603,26646,0, , 
94607,11/24/22,6603,26646,898, , 
94607,11/23/22,5705,26646,-892,1253564.209, 
94607,11/22/22,6597,26646,0,933124.5117,0.813034
94607,11/21/22,6597,26646,6,395721.4966, 
94607,11/20/22,6591,26646,0, , 
94607,11/19/22,6591,26646,0, , 
94607,11/18/22,6591,26646,12, , 
94607,11/17/22,6579,26646,11,614842.9, 
94607,11/16/22,6568,26646,0,377634.2367, 
94607,11/15/22,6568,26646,0,362221.8018,0.812884
94607,11/14/22,6568,26646,7, , 
94607,11/13/22,6561,26646,0, , 
94607,11/12/22,6561,26646,0, , 
94607,11/11/22,6561,26646,0, , 
94607,11/10/22,6561,26646,6,324299.5402, 
94607,11/9/22,6555,26646,22,293769.4194, 
94607,11/8/22,6533,26646,0,282781.3822,0.812623
94607,11/7/22,6533,26646,3, , 
94607,11/6/22,6530,26646,0, , 
94607,11/5/22,6530,26646,840, , 
94607,11/4/22,5690,26646,-834, , 
94607,11/3/22,6524,26646,6,711014.3, 
94607,11/2/22,6518,26646,0,270713.6536, 
94607,11/1/22,6518,26646,2,265031.5908,0.812251
94607,10/31/22,6516,26646,-87, , 
94607,10/30/22,6603,26646,0, , 
94607,10/29/22,6603,26646,0, , 
94607,10/28/22,6603,26646,0, , 
94607,10/27/22,6603,26646,11,40831.75023, 
94607,10/26/22,6592,26646,8,166338.4603, 
94607,10/25/22,6584,26646,0,206058.1,0.811729
94607,10/24/22,6584,26646,0, , 
94607,10/23/22,6584,26646,0, , 
94607,10/22/22,6584,26646,0, , 
94607,10/21/22,6584,26646,445, , 
94607,10/20/22,6139,26646,-416,231036.6, 
94607,10/19/22,6555,26646,0,159995.8, 
94607,10/18/22,6555,26646,3,180701.6,0.811468
94607,10/17/22,6552,26646,0, , 
